Rule	Head Coverage	Std Confidence	PCA Confidence	Positive Examples	Body size	PCA Body size	Functional variable	Std. Lower Bound	PCA Lower Bound	PCA Conf estimation
?a  <happenedIn>  ?h  ?h  <isLocatedIn>  ?b  ?b  <participatedIn>  ?a   => ?a  <happenedIn>  ?b	0.024342746	0.308988764	0.308988764	275	890	890	?a	0.0	0.0	0.0
?b  <dealsWith>  ?h  ?b  <participatedIn>  ?a  ?h  <participatedIn>  ?a   => ?a  <happenedIn>  ?b	0.013100823	0.127038627	0.162102957	148	1165	913	?a	0.0	0.0	0.0
?h  <dealsWith>  ?b  ?b  <dealsWith>  ?h  ?b  <participatedIn>  ?a   => ?a  <happenedIn>  ?b	0.022749402	0.134554974	0.164007658	257	1910	1567	?a	0.0	0.0	0.0
?g  <isCitizenOf>  ?b  ?g  <isLeaderOf>  ?b  ?b  <participatedIn>  ?a   => ?a  <happenedIn>  ?b	0.012215632	0.282208589	0.358441558	138	489	385	?a	0.0	0.0	0.0
?a  <happenedIn>  ?f  ?b  <hasCapital>  ?f  ?f  <isLocatedIn>  ?b   => ?a  <happenedIn>  ?b	0.011773037	0.392330383	0.392330383	133	339	339	?a	0.0	0.0	0.0
?b  <dealsWith>  ?a  ?a  <hasCapital>  ?h  ?h  <isLocatedIn>  ?a   => ?a  <dealsWith>  ?b	0.081632653	0.120603015	0.169411765	72	597	425	?a	0.0	0.0	0.0
?b  <dealsWith>  ?a  ?a  <exports>  ?h  ?a  <imports>  ?h   => ?a  <dealsWith>  ?b	0.057823129	0.138211382	0.162420382	51	369	314	?a	0.0	0.0	0.0
?b  <dealsWith>  ?a  ?b  <exports>  ?h  ?a  <imports>  ?h   => ?a  <dealsWith>  ?b	0.045351474	0.310077519	0.408163265	40	129	98	?a	0.0	0.0	0.0
?b  <dealsWith>  ?a  ?a  <exports>  ?h  ?b  <imports>  ?h   => ?a  <dealsWith>  ?b	0.045351474	0.202020202	0.248447205	40	198	161	?a	0.0	0.0	0.0
?b  <dealsWith>  ?a  ?h  <happenedIn>  ?a  ?a  <participatedIn>  ?h   => ?a  <dealsWith>  ?b	0.078231293	0.101470588	0.170792079	69	680	404	?a	0.0	0.0	0.0
?b  <dealsWith>  ?a  ?h  <happenedIn>  ?b  ?a  <participatedIn>  ?h   => ?a  <dealsWith>  ?b	0.031746032	0.197183099	0.35	28	142	80	?a	0.0	0.0	0.0
?b  <dealsWith>  ?a  ?b  <exports>  ?h  ?b  <imports>  ?h   => ?a  <dealsWith>  ?b	0.057823129	0.245192308	0.383458647	51	208	133	?a	0.0	0.0	0.0
?b  <dealsWith>  ?a  ?h  <happenedIn>  ?a  ?b  <participatedIn>  ?h   => ?a  <dealsWith>  ?b	0.031746032	0.394366197	0.5	28	71	56	?a	0.0	0.0	0.0
?b  <dealsWith>  ?a  ?h  <happenedIn>  ?b  ?b  <participatedIn>  ?h   => ?a  <dealsWith>  ?b	0.078231293	0.134502924	0.204142012	69	513	338	?a	0.0	0.0	0.0
?b  <dealsWith>  ?a  ?g  <isCitizenOf>  ?a  ?g  <isLeaderOf>  ?a   => ?a  <dealsWith>  ?b	0.013605442	0.151898734	0.4	12	79	30	?a	0.0	0.0	0.0
?b  <dealsWith>  ?a  ?g  <isCitizenOf>  ?a  ?g  <livesIn>  ?a   => ?a  <dealsWith>  ?b	0.090702948	0.100125156	0.15503876	80	799	516	?a	0.0	0.0	0.0
?b  <dealsWith>  ?a  ?g  <isCitizenOf>  ?b  ?g  <isLeaderOf>  ?b   => ?a  <dealsWith>  ?b	0.013605442	0.153846154	0.24	12	78	50	?a	0.0	0.0	0.0
?b  <dealsWith>  ?a  ?g  <isCitizenOf>  ?b  ?g  <livesIn>  ?a   => ?a  <dealsWith>  ?b	0.029478458	0.4	0.702702703	26	65	37	?a	0.0	0.0	0.0
?b  <dealsWith>  ?a  ?g  <isCitizenOf>  ?a  ?g  <livesIn>  ?b   => ?a  <dealsWith>  ?b	0.029478458	0.472727273	0.702702703	26	55	37	?a	0.0	0.0	0.0
?b  <dealsWith>  ?a  ?g  <isCitizenOf>  ?b  ?g  <livesIn>  ?b   => ?a  <dealsWith>  ?b	0.090702948	0.202020202	0.30651341	80	396	261	?a	0.0	0.0	0.0
?a  <exports>  ?f  ?b  <exports>  ?f  ?b  <imports>  ?f   => ?a  <dealsWith>  ?b	0.0861678	0.102702703	0.137931034	76	740	551	?a	0.0	0.0	0.0
?a  <diedIn>  ?h  ?a  <graduatedFrom>  ?b  ?b  <isLocatedIn>  ?h   => ?a  <worksAt>  ?b	0.012107101	0.107883817	0.634146341	52	482	82	?a	0.0	0.0	0.0
?a  <graduatedFrom>  ?b  ?a  <hasAcademicAdvisor>  ?h  ?h  <worksAt>  ?b   => ?a  <worksAt>  ?b	0.013969732	0.195439739	0.288461538	60	307	208	?a	0.0	0.0	0.0
?a  <graduatedFrom>  ?b  ?g  <graduatedFrom>  ?b  ?g  <hasAcademicAdvisor>  ?a   => ?a  <worksAt>  ?b	0.013736903	0.349112426	0.710843373	59	169	83	?a	0.0	0.0	0.0
?a  <isCitizenOf>  ?b  ?h  <isLocatedIn>  ?b  ?a  <livesIn>  ?h   => ?a  <livesIn>  ?b	0.023164862	0.233884576	0.233884576	693	2963	2963	?a	0.0	0.0	0.0
?a  <graduatedFrom>  ?h  ?a  <isCitizenOf>  ?b  ?h  <isLocatedIn>  ?b   => ?a  <livesIn>  ?b	0.014206445	0.101118249	0.411821705	425	4203	1032	?a	0.0	0.0	0.0
?b  <hasCapital>  ?f  ?f  <isLocatedIn>  ?b  ?a  <livesIn>  ?f   => ?a  <livesIn>  ?b	0.036970183	0.410237389	0.410237389	1106	2696	2696	?a	0.0	0.0	0.0
?b  <isLocatedIn>  ?h  ?a  <livesIn>  ?h  ?a  <wasBornIn>  ?b   => ?a  <livesIn>  ?b	0.016512903	0.302696078	0.302696078	494	1632	1632	?a	0.0	0.0	0.0
?f  <isLocatedIn>  ?b  ?a  <isLocatedIn>  ?f   => ?a  <isLocatedIn>  ?b	0.331971275	0.296567761	0.296567761	391914	1321499	1321499	?a	0.0	0.0	1.3586072908429565E11
?e  <isLocatedIn>  ?a  ?e  <isLocatedIn>  ?b   => ?a  <isLocatedIn>  ?b	0.037998723	0.202666378	0.261064393	44860	221349	171835	?a	0.8012860587657408	1.0345702359262932	1.5551147207605503E10
?f  <isLocatedIn>  ?b  ?a  <livesIn>  ?f  ?a  <wasBornIn>  ?f   => ?a  <livesIn>  ?b	0.017649418	0.113621691	0.113621691	528	4647	4647	?a	0.0	0.0	0.0
?f  <hasCapital>  ?b  ?b  <isLocatedIn>  ?f  ?a  <livesIn>  ?f   => ?a  <livesIn>  ?b	0.036970183	0.152530685	0.152530685	1106	7251	7251	?a	0.0	0.0	0.0
?b  <happenedIn>  ?a  ?a  <hasCapital>  ?h  ?h  <isLocatedIn>  ?a   => ?a  <participatedIn>  ?b	0.03518925	0.18994614	0.215918367	529	2785	2450	?b	0.0	0.0	0.0
?a  <exports>  ?h  ?b  <happenedIn>  ?a  ?a  <imports>  ?h   => ?a  <participatedIn>  ?b	0.015698796	0.225405922	0.255965293	236	1047	922	?b	0.0	0.0	0.0
?h  <dealsWith>  ?a  ?a  <dealsWith>  ?h  ?b  <happenedIn>  ?a   => ?a  <participatedIn>  ?b	0.017095723	0.180098108	0.2056	257	1427	1250	?b	0.0	0.0	0.0
?b  <happenedIn>  ?a  ?b  <happenedIn>  ?h  ?h  <isLocatedIn>  ?a   => ?a  <participatedIn>  ?b	0.018293089	0.151181968	0.177304965	275	1819	1551	?b	0.0	0.0	0.0
?b  <happenedIn>  ?a  ?g  <isCitizenOf>  ?a  ?g  <livesIn>  ?a   => ?a  <participatedIn>  ?b	0.037983104	0.212980231	0.242565845	571	2681	2354	?b	0.0	0.0	0.0
?h  <isLocatedIn>  ?b  ?a  <livesIn>  ?b  ?a  <livesIn>  ?h   => ?a  <isCitizenOf>  ?b	0.015908726	0.124327234	0.496062992	693	5574	1397	?a	0.0	0.0	0.0
?b  <hasCapital>  ?h  ?h  <isLocatedIn>  ?b  ?a  <livesIn>  ?b   => ?a  <isCitizenOf>  ?b	0.034985423	0.210177906	0.639261745	1524	7251	2384	?a	0.0	0.0	0.0
?b  <exports>  ?h  ?b  <imports>  ?h  ?a  <livesIn>  ?b   => ?a  <isCitizenOf>  ?b	0.020316338	0.335227273	0.809698079	885	2640	1093	?a	0.0	0.0	0.0
?h  <dealsWith>  ?b  ?b  <dealsWith>  ?h  ?a  <livesIn>  ?b   => ?a  <isCitizenOf>  ?b	0.018089576	0.320064988	0.796764408	788	2462	989	?a	0.0	0.0	0.0
?h  <isLocatedIn>  ?b  ?a  <livesIn>  ?b  ?a  <wasBornIn>  ?h   => ?a  <isCitizenOf>  ?b	0.010238516	0.260514019	0.758503401	446	1712	588	?a	0.0	0.0	0.0
?g  <dealsWith>  ?b  ?g  <isLocatedIn>  ?b  ?a  <livesIn>  ?b   => ?a  <isCitizenOf>  ?b	0.013842657	0.340101523	0.798675497	603	1773	755	?a	0.0	0.0	0.0
?a  <diedIn>  ?h  ?b  <isMarriedTo>  ?a  ?a  <wasBornIn>  ?h   => ?a  <isMarriedTo>  ?b	0.011154138	1	1	265	265	265	?b	0.0	0.0	0.0
?a  <actedIn>  ?h  ?a  <created>  ?h  ?b  <isMarriedTo>  ?a   => ?a  <isMarriedTo>  ?b	0.011027864	1	1	262	262	262	?b	0.0	0.0	0.0
?a  <actedIn>  ?h  ?a  <directed>  ?h  ?b  <isMarriedTo>  ?a   => ?a  <isMarriedTo>  ?b	0.010017678	1	1	238	238	238	?b	0.0	0.0	0.0
?a  <created>  ?h  ?a  <directed>  ?h  ?b  <isMarriedTo>  ?a   => ?a  <isMarriedTo>  ?b	0.025044196	1	1	595	595	595	?b	0.0	0.0	0.0
?b  <diedIn>  ?h  ?b  <isMarriedTo>  ?a  ?b  <wasBornIn>  ?h   => ?a  <isMarriedTo>  ?b	0.011154138	1	1	265	265	265	?b	0.0	0.0	0.0
?b  <actedIn>  ?h  ?b  <created>  ?h  ?b  <isMarriedTo>  ?a   => ?a  <isMarriedTo>  ?b	0.011027864	1	1	262	262	262	?b	0.0	0.0	0.0
?b  <actedIn>  ?h  ?b  <directed>  ?h  ?b  <isMarriedTo>  ?a   => ?a  <isMarriedTo>  ?b	0.010017678	1	1	238	238	238	?b	0.0	0.0	0.0
?b  <created>  ?h  ?b  <directed>  ?h  ?b  <isMarriedTo>  ?a   => ?a  <isMarriedTo>  ?b	0.025044196	1	1	595	595	595	?b	0.0	0.0	0.0
?a  <actedIn>  ?h  ?a  <created>  ?b  ?a  <directed>  ?h   => ?a  <directed>  ?b	0.024693847	0.376199616	0.761460761	980	2605	1287	?b	0.0	0.0	0.0
?a  <created>  ?b  ?a  <directed>  ?h  ?a  <wroteMusicFor>  ?h   => ?a  <directed>  ?b	0.010532682	0.22257721	0.854805726	418	1878	489	?b	0.0	0.0	0.0
?a  <actedIn>  ?h  ?a  <created>  ?b  ?a  <created>  ?h   => ?a  <directed>  ?b	0.023660737	0.195625	0.483273289	939	4800	1943	?b	0.0	0.0	0.0
?g  <actedIn>  ?b  ?a  <created>  ?b  ?g  <created>  ?b   => ?a  <directed>  ?b	0.01501789	0.320602474	0.369040248	596	1859	1615	?b	0.0	0.0	0.0
?g  <actedIn>  ?b  ?a  <created>  ?b  ?g  <directed>  ?b   => ?a  <directed>  ?b	0.012069748	0.554398148	0.554398148	479	864	864	?b	0.0	0.0	0.0
?a  <actedIn>  ?b  ?a  <created>  ?h  ?a  <directed>  ?h   => ?a  <directed>  ?b	0.017638462	0.122807018	0.151515152	700	5700	4620	?b	0.0	0.0	0.0
?a  <actedIn>  ?b  ?g  <actedIn>  ?b  ?g  <created>  ?b   => ?a  <directed>  ?b	0.011868165	0.118520382	0.138570168	471	3974	3399	?b	0.0	0.0	0.0
?a  <diedIn>  ?b  ?g  <diedIn>  ?b  ?g  <livesIn>  ?b   => ?a  <wasBornIn>  ?b	0.014255119	0.117206983	0.244739639	2303	19649	9410	?a	0.0	0.0	0.0
